"duration";"Q_RecaptchaScore";"Q_RelevantIDFraudScore";"gender";"nationality";"ethnicity";"age";"preferred_game_name";"gaming_time";"gaming_related_activities_time";"online_gaming_time";"offline_gaming_time";"playing_esports";"rank";"team_membership";"playing_with_offline_friends";"MOGQ_social1";"MOGQ_social2";"MOGQ_social3";"MOGQ_social4";"MOGQ_escape1";"MOGQ_escape2";"MOGQ_escape3";"MOGQ_escape4";"MOGQ_competition1";"MOGQ_competition2";"MOGQ_competition3";"MOGQ_competition4";"MOGQ_coping1";"MOGQ_coping2";"MOGQ_coping3";"MOGQ_coping4";"IGCQ_1";"IGCQ_2";"IGCQ_3";"IGCQ_4";"attention_check_1";"IGDS9SF_1";"IGDS9SF_2";"IGDS9SF_3";"IGDS9SF_4";"IGDS9SF_5";"IGDS9SF_6";"IGDS9SF_7";"IGDS9SF_8";"IGDS9SF_9";"GDT_1";"GDT_2";"GDT_3";"GDT_4";"IGD_alternative_criterion2";"IGD_alternative_criterion5";"IGD_alternative_criterion6";"IGD_alternative_criterion3";"IGD_alternative_craving";"IGD_alternative_health";"BFRS_1";"BFRS_2";"BFRS_3";"BFRS_4";"BFRS_5";"BFRS_6";"BFRS_7";"BSCS_1";"BSCS_2";"BSCS_3";"BSCS_4";"BSCS_5";"BSCS_6";"BSCS_7";"BSCS_8";"BSCS_9";"BSCS_10";"BSCS_11";"BSCS_12";"BSCS_13";"attention_check_2";"neuroticism_1";"neuroticism_2";"neuroticism_3";"neuroticism_4";"neuroticism_5";"neuroticism_6";"neuroticism_7";"neuroticism_8";"neuroticism_9";"neuroticism_10";"DJGLS_1";"DJGLS_2";"DJGLS_3";"DJGLS_4";"DJGLS_5";"DJGLS_6";"harm_avoidance_1";"harm_avoidance_2";"harm_avoidance_3";"harm_avoidance_4";"harm_avoidance_5";"harm_avoidance_6";"harm_avoidance_7";"harm_avoidance_8";"harm_avoidance_9";"harm_avoidance_10";"BAS_reward_1";"BAS_reward_2";"BAS_reward_3";"BAS_reward_4";"BAS_reward_5"
349;1;0;0;"Poland";"White";23;"Genshin Impact";8;4;79;21;0;NA;0;3;4;NA;NA;4;2;1;NA;NA;2;3;NA;NA;NA;1;NA;2;1;1;1;1;1;2;1;2;2;1;1;1;2;1;2;2;2;1;2;1;2;1;3;2;2;NA;NA;2;2;2;NA;3;NA;4;NA;3;NA;5;1;NA;NA;NA;3;4;1;3;NA;NA;4;NA;3;2;2;NA;NA;2;NA;NA;3;2;NA;NA;1;4;NA;5;NA;2;3;NA;NA;NA;2;NA;1;1
404;1;0;0;"Greece";"White";25;"RTS";8;4;70;30;1;"Ancient";0;5;NA;NA;3;5;4;NA;NA;5;4;5;NA;NA;NA;5;NA;4;1;3;3;2;1;4;2;4;3;2;1;1;4;1;2;3;3;4;4;3;4;3;5;1;2;1;NA;1;NA;2;NA;3;NA;NA;4;NA;4;5;3;5;NA;2;NA;NA;0;4;NA;NA;1;1;4;NA;3;NA;NA;NA;1;2;1;NA;NA;5;NA;5;NA;NA;NA;NA;1;3;2;NA;1;NA;3;1
671;0,9;0;0;"Portuguese";"white";26;"Raimbow Six Siege";4;4;94;6;0;NA;0;5;3;NA;NA;4;2;NA;2;NA;4;NA;NA;3;4;3;NA;NA;1;1;1;2;1;3;2;3;2;3;2;3;3;1;3;2;2;1;2;2;3;2;3;1;3;2;3;NA;NA;3;NA;4;NA;4;4;NA;5;3;2;2;NA;NA;NA;NA;1;3;NA;NA;3;NA;4;NA;NA;4;3;NA;NA;5;1;NA;5;NA;5;4;3;2;NA;NA;NA;NA;2;2;2;1;NA;NA
452;1;0;0;"Poland";"White";20;"RPG";4;4;45;55;1;"Diamond in league of legends";0;5;4;NA;NA;4;5;NA;3;NA;5;NA;5;NA;NA;4;1;NA;1;1;1;1;1;3;2;1;1;2;2;2;3;3;3;2;2;2;2;2;3;3;4;3;3;NA;3;NA;3;NA;3;4;NA;NA;NA;3;4;NA;4;4;2;NA;NA;3;0;NA;1;NA;1;NA;4;2;NA;NA;5;NA;1;NA;2;NA;4;NA;2;4;NA;NA;NA;2;NA;1;3;1;1;NA;NA;1
344;0,9;0;0;"polish";"white";20;"RPG";2;1;5;95;0;NA;0;2;NA;NA;1;1;2;1;NA;NA;1;NA;NA;2;NA;1;NA;2;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;1;2;1;1;2;NA;2;1;NA;3;NA;3;4;NA;NA;3;NA;3;2;1;NA;NA;NA;1;1;1;NA;1;1;NA;3;1;NA;NA;NA;NA;NA;NA;2;5;4;4;NA;4;2;NA;2;NA;NA;1;NA;2;1;NA;2;NA
612;0,8;0;0;"Portugal";"Caucasian";22;"Rimworld";8;12;30;70;1;"Gold 4";0;4;NA;NA;2;4;2;NA;NA;3;2;NA;NA;1;NA;5;1;NA;1;1;1;1;1;3;1;2;2;1;1;1;3;1;2;3;2;1;2;1;3;1;3;2;2;NA;NA;1;1;NA;2;2;4;4;NA;4;NA;NA;3;NA;3;NA;1;NA;1;4;NA;NA;4;NA;1;NA;5;2;NA;NA;NA;2;4;1;NA;1;NA;5;2;NA;4;NA;NA;3;NA;2;1;3;NA;NA
543;1;0;0;"Swedish";"Caucasian";23;"Euro Truck Simulator 2";6;3;10;90;0;NA;1;2;NA;3;NA;3;3;NA;4;NA;1;NA;NA;2;3;4;NA;NA;2;2;2;1;1;3;2;3;2;4;3;4;4;1;3;4;4;3;3;4;4;3;3;3;2;NA;NA;2;2;NA;2;2;3;3;NA;NA;NA;5;2;NA;NA;3;4;NA;1;NA;NA;4;3;3;3;NA;NA;NA;2;2;NA;2;3;NA;NA;5;NA;4;1;1;NA;NA;3;NA;NA;NA;2;2;2;NA
395;1;0;1;"Indonesian";"Asian";22;"Apex Legends";2;2;100;0;0;NA;0;4;NA;1;NA;2;4;NA;NA;4;3;NA;1;NA;4;4;NA;NA;1;1;2;1;1;3;3;3;4;4;3;5;5;4;4;4;5;3;3;4;4;3;4;4;2;NA;NA;2;2;NA;2;2;NA;4;1;NA;3;NA;2;NA;5;NA;5;NA;1;NA;NA;NA;4;4;3;NA;4;NA;2;2;NA;NA;3;NA;2;NA;3;3;NA;NA;NA;2;2;NA;2;NA;1;NA;1;1
468;1;0;1;"British";"White";24;"FPS";1;1;70;30;1;"Platinum";0;1;1;NA;NA;4;5;NA;5;NA;4;NA;3;NA;NA;3;3;NA;2;1;2;2;1;3;2;3;3;2;2;3;3;1;3;2;3;2;2;2;1;2;3;2;2;NA;NA;2;2;1;NA;2;4;NA;1;3;2;NA;2;NA;NA;2;NA;NA;1;NA;3;NA;2;NA;2;1;NA;NA;2;NA;4;4;3;NA;NA;NA;3;4;NA;1;NA;1;2;NA;NA;2;2;2;NA;NA
479;1;0;0;"British";"White";20;"Fps";1;3;40;60;0;NA;0;5;NA;1;NA;2;5;NA;NA;5;4;2;NA;NA;5;5;NA;NA;1;2;2;2;1;2;3;3;1;1;1;1;5;1;2;1;1;1;1;1;1;1;3;1;3;3;NA;NA;3;NA;3;4;NA;NA;NA;NA;NA;NA;3;5;5;2;1;3;1;NA;NA;3;2;1;3;1;NA;NA;NA;NA;NA;NA;2;2;4;NA;NA;3;3;NA;2;NA;NA;3;4;1;1;1;NA;NA
428;0,9;0;0;"Polish";"White";19;"osu!";2;1;20;80;0;NA;0;2;NA;2;NA;2;2;2;NA;NA;4;3;NA;NA;4;4;NA;NA;1;2;1;1;1;3;2;2;2;3;3;1;4;1;2;2;3;1;2;2;1;2;4;2;1;2;NA;1;NA;1;NA;3;NA;NA;NA;NA;NA;4;4;3;NA;5;3;1;1;NA;2;NA;3;NA;5;2;NA;NA;4;NA;NA;4;4;3;NA;3;NA;3;NA;2;NA;NA;2;NA;4;NA;1;2;NA;1
768;1;0;1;"Italian";"white";21;"RPG";4;6;5;95;0;NA;0;1;NA;NA;1;1;4;3;NA;NA;1;NA;1;NA;5;5;NA;NA;1;1;1;1;1;3;3;3;3;3;2;2;4;1;2;3;2;2;2;3;3;3;3;2;3;2;3;NA;NA;NA;3;3;NA;NA;2;3;NA;4;3;4;NA;2;NA;NA;1;NA;NA;NA;4;4;2;NA;2;3;NA;2;NA;NA;2;1;NA;NA;NA;5;2;1;NA;1;NA;3;NA;NA;1;2;1;NA
568;1;0;0;"Poland";"Poland";19;"shooters moba";10;2;100;0;0;NA;0;5;NA;NA;3;4;4;NA;4;NA;5;5;NA;NA;NA;3;NA;3;1;2;1;2;1;3;3;2;2;2;1;2;4;2;3;4;3;2;3;2;2;2;3;1;2;NA;3;NA;NA;2;2;3;3;5;NA;4;3;NA;1;NA;2;NA;NA;NA;1;NA;5;NA;2;NA;4;1;NA;2;NA;NA;NA;NA;3;2;2;NA;2;4;NA;NA;4;3;NA;NA;4;2;2;2;NA;NA
923;1;0;0;"Portuguese";"Caucasian";22;"Sports";8;4;90;10;1;"Lengendary Eagle Master";0;5;NA;NA;4;3;1;NA;NA;1;5;NA;NA;5;NA;1;NA;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;1;1;2;3;2;3;3;2;NA;3;NA;2;3;NA;2;NA;NA;2;NA;NA;4;3;2;NA;2;4;NA;1;1;1;NA;1;NA;3;2;NA;NA;NA;NA;2;NA;1;NA;4;1;NA;2;4;NA;NA;2;NA;NA;4;2;2;2;NA;NA
481;1;0;0;"Italian";"Caucasian";20;"FPS";2;3;70;30;0;NA;0;2;2;NA;NA;5;4;NA;3;NA;5;NA;NA;5;NA;4;4;NA;2;3;1;2;1;3;1;2;1;1;1;1;3;1;1;1;1;1;1;1;1;2;3;1;3;2;3;NA;NA;NA;2;5;NA;2;NA;1;NA;3;5;NA;NA;5;NA;1;1;NA;NA;3;3;1;2;NA;5;NA;NA;1;4;NA;1;NA;NA;NA;NA;3;5;1;NA;3;2;NA;NA;1;1;NA;NA;1
571;0,8;0;1;"Portuguese";"White";35;"Valheim";4;4;70;30;0;NA;0;4;3;NA;NA;3;3;NA;NA;3;2;2;NA;NA;NA;3;1;NA;1;1;2;1;1;3;2;1;2;3;2;3;3;1;2;3;1;1;1;3;2;1;2;3;1;1;1;NA;NA;1;NA;3;NA;3;2;NA;3;NA;2;NA;2;2;NA;NA;1;2;2;NA;1;NA;4;NA;NA;4;NA;2;NA;NA;4;1;NA;3;3;4;NA;NA;3;NA;NA;3;NA;NA;2;NA;2;2
749;1;0;0;"Polish";"White";21;"MOBA";5;4;100;0;0;NA;0;5;2;NA;NA;4;4;NA;3;NA;3;NA;NA;1;4;3;NA;NA;1;2;1;1;1;2;2;3;3;4;2;3;3;1;2;3;1;1;3;5;2;3;4;5;2;1;NA;2;2;NA;NA;2;4;NA;4;NA;3;3;1;NA;NA;NA;4;NA;1;4;NA;3;4;1;2;NA;NA;NA;NA;4;3;NA;2;NA;NA;2;1;4;NA;NA;3;NA;NA;1;NA;2;1;NA;1;NA
849;1;0;0;"British";"White";38;"First person shooter";2;1;75;25;0;NA;1;4;2;NA;NA;2;2;NA;NA;1;4;NA;2;NA;NA;3;1;NA;1;1;1;2;1;2;1;1;1;2;1;1;2;1;2;1;1;1;2;2;1;3;3;1;3;2;3;2;NA;NA;NA;3;NA;2;NA;2;NA;NA;2;1;1;NA;NA;1;1;NA;NA;NA;3;NA;2;NA;5;4;4;NA;NA;4;1;NA;4;NA;4;4;NA;NA;5;NA;1;4;NA;NA;2;NA;2;1
871;1;0;0;"Italian";"Caucasian";26;"Racing game";2;4;60;40;0;NA;0;2;NA;2;NA;1;3;NA;1;NA;1;1;NA;NA;NA;5;4;NA;1;1;1;1;1;1;1;1;2;1;1;1;2;1;2;1;1;1;1;1;1;1;2;1;2;NA;NA;2;2;NA;2;4;3;3;NA;NA;NA;4;3;NA;NA;NA;2;2;1;1;NA;1;1;NA;3;NA;3;NA;NA;4;NA;NA;3;NA;4;NA;NA;4;NA;1;NA;NA;3;3;2;NA;2;2;NA;3
605;1;0;1;"Chilean";"Latino";27;"RPG";4;6;0;100;0;NA;0;2;NA;NA;1;1;4;NA;4;NA;1;NA;1;NA;5;5;NA;NA;1;1;2;2;1;2;2;2;1;1;3;1;4;1;1;2;2;1;1;1;2;2;3;1;2;2;2;2;NA;NA;NA;4;4;NA;2;3;3;NA;4;NA;4;NA;NA;NA;1;3;NA;NA;3;1;3;NA;NA;4;NA;NA;3;NA;4;3;NA;NA;3;4;NA;NA;4;2;2;NA;NA;NA;2;NA;2;2
694;1;0;0;"Poland";"Poland";22;"MMORPG , RPG, FPS";5;3;50;50;0;NA;0;5;NA;2;NA;4;4;3;NA;NA;5;NA;3;NA;NA;4;NA;4;1;2;2;2;1;3;1;2;1;2;2;1;4;1;3;3;3;2;1;2;3;2;3;2;3;NA;NA;3;NA;3;3;3;4;NA;2;NA;3;4;2;NA;3;NA;NA;NA;1;NA;3;NA;3;NA;2;2;NA;NA;4;5;NA;1;2;NA;NA;3;NA;4;NA;1;NA;2;NA;NA;2;1;1;NA;2;NA
1057;0,9;0;0;"Czech";"White";24;"RPG";4;0;60;40;0;NA;0;2;NA;2;NA;3;3;NA;NA;2;1;NA;2;NA;NA;3;NA;3;2;1;1;1;1;3;2;1;2;3;1;1;2;1;3;2;3;2;1;2;1;2;3;3;3;NA;NA;NA;2;3;3;3;3;4;4;NA;4;NA;2;NA;NA;2;NA;NA;1;NA;3;NA;3;3;2;NA;NA;2;NA;NA;NA;3;3;3;NA;3;2;4;NA;NA;NA;3;NA;NA;2;2;1;1;NA;NA
688;0,9;0;1;"Polish";"white";18;"RPG";6;3;70;30;0;NA;0;3;NA;NA;2;3;3;NA;NA;4;2;NA;NA;2;NA;4;1;NA;2;2;2;2;1;2;1;2;3;2;2;1;4;1;2;3;2;2;2;1;2;2;2;2;2;NA;1;NA;NA;2;2;1;3;NA;NA;NA;NA;4;1;4;NA;3;3;NA;1;NA;NA;NA;4;NA;2;1;1;NA;1;2;4;NA;4;NA;NA;NA;NA;4;NA;NA;NA;2;3;3;4;NA;1;NA;1;1
792;1;0;0;"Poland";"West Slavic";19;"Escape from Tarkov";10;2;80;20;0;NA;0;2;NA;5;NA;4;4;1;NA;NA;4;3;NA;NA;4;5;NA;NA;1;2;1;1;1;5;1;2;1;1;2;1;4;1;3;1;2;1;1;1;1;2;3;3;3;3;2;NA;3;NA;NA;3;2;5;NA;1;NA;4;2;NA;NA;NA;1;NA;1;4;NA;2;4;NA;3;NA;NA;2;NA;NA;NA;1;1;3;NA;NA;5;5;1;1;NA;1;NA;NA;NA;NA;1;1;NA;1
795;1;0;0;"Iranian";"Persian";36;"Open world, role-playing games";3;1;0;100;1;"Amateur";0;1;1;NA;NA;5;5;NA;5;NA;4;NA;4;NA;5;4;NA;NA;1;3;3;3;1;5;4;4;3;4;4;5;5;3;4;5;4;3;5;3;4;3;5;4;3;2;NA;3;3;NA;NA;2;NA;4;3;NA;2;NA;5;NA;2;NA;NA;2;1;NA;NA;NA;1;NA;1;1;2;NA;2;1;NA;NA;4;1;NA;NA;4;2;4;NA;5;NA;NA;2;NA;NA;1;1;1;NA
895;1;0;0;"Greek";"White";20;"Action/adventure/atmospheric";3;1;80;20;0;NA;0;4;1;NA;NA;4;1;2;NA;NA;4;NA;4;NA;NA;2;NA;3;1;1;1;1;1;2;1;2;2;2;3;3;3;2;2;2;2;3;2;2;2;2;4;3;2;NA;NA;3;NA;3;2;4;NA;NA;3;NA;4;NA;4;1;2;NA;NA;2;1;NA;NA;2;1;NA;5;NA;4;NA;4;NA;2;NA;1;NA;4;1;2;4;3;4;NA;NA;NA;NA;NA;1;2;2;NA;NA
860;1;0;0;"Polish";"White";20;"overwatch";3;4;35;65;1;"grandmaster";0;1;NA;NA;1;2;5;NA;NA;3;3;4;NA;NA;NA;5;NA;5;2;3;3;3;1;4;3;3;2;4;3;2;3;3;2;3;4;4;3;2;4;4;3;2;3;NA;2;NA;NA;2;2;3;3;2;NA;3;NA;NA;3;NA;5;4;NA;NA;1;4;NA;NA;4;4;2;NA;NA;NA;3;2;NA;NA;4;NA;2;NA;NA;4;4;1;3;NA;4;NA;NA;1;1;NA;NA;2
896;1;0;0;"Hungarian";"Caucasian";22;"FPS";4;2;75;25;1;"Distinguished Master Guardian, Diamond 1";1;2;NA;NA;3;4;2;NA;2;NA;4;NA;2;NA;NA;1;1;NA;2;1;1;1;1;2;1;2;1;1;1;1;3;1;1;2;2;1;1;1;2;2;1;2;3;2;NA;3;3;NA;NA;5;2;NA;4;NA;3;NA;4;NA;NA;4;2;NA;0;NA;1;2;4;NA;3;NA;4;NA;NA;NA;2;1;1;NA;NA;5;5;5;NA;NA;4;NA;5;NA;NA;NA;2;1;NA;1
995;1;0;0;"Poland";"White";24;"League of Legends";8;2;75;25;1;"Gold";1;4;2;NA;NA;3;4;NA;NA;4;2;3;NA;NA;NA;4;4;NA;1;1;1;2;1;3;2;3;3;2;2;2;3;2;3;3;3;2;3;2;2;2;2;2;2;2;NA;NA;2;3;NA;3;NA;4;NA;NA;NA;4;3;NA;4;3;NA;4;1;NA;3;NA;4;NA;4;3;NA;3;NA;3;NA;NA;2;NA;2;NA;NA;4;3;2;3;2;NA;NA;NA;1;2;NA;2;NA
957;1;0;1;"Latvian";"Russian european (white)";30;"Elite Dangerous";2;2;85;15;0;NA;0;1;NA;4;NA;4;3;NA;3;NA;1;NA;NA;1;NA;4;2;NA;2;2;2;3;1;3;1;3;2;1;2;1;3;1;2;1;2;1;3;1;2;2;3;3;1;1;1;NA;1;NA;NA;3;NA;NA;NA;4;NA;NA;2;2;4;NA;5;5;1;4;NA;3;5;5;3;NA;NA;NA;NA;NA;5;NA;5;2;NA;NA;NA;2;NA;NA;3;NA;4;4;4;NA;2;NA;1;1
998;1;0;0;"italian";"White";22;"Fps";8;6;90;10;0;NA;0;2;2;NA;NA;5;5;NA;NA;5;4;4;NA;NA;NA;5;NA;3;2;3;1;3;1;3;2;2;2;2;2;2;4;3;2;2;2;1;3;1;2;1;2;2;2;NA;NA;NA;2;2;3;4;NA;NA;5;NA;3;NA;2;4;NA;NA;4;3;1;NA;NA;NA;4;4;1;NA;NA;2;2;NA;1;1;1;NA;NA;NA;NA;2;NA;4;NA;NA;2;3;4;1;1;1;NA;NA
1176;1;0;0;"Mexican";"Latin";18;"rpg";3;1;90;10;0;NA;0;3;NA;NA;5;4;4;2;NA;NA;2;NA;2;NA;4;4;NA;NA;1;2;1;2;1;2;1;2;1;2;2;1;3;1;3;4;4;1;1;2;4;2;2;1;3;NA;3;2;NA;NA;2;4;NA;NA;NA;2;5;4;3;3;NA;3;NA;NA;0;3;NA;1;3;NA;4;2;NA;NA;NA;NA;NA;2;1;NA;3;4;2;4;NA;NA;NA;1;NA;NA;1;2;2;NA;NA;1
1514;NA;NA;0;"mexican";"Latin hispanic";23;"Call of Duty";2;2;80;20;0;NA;0;3;4;NA;NA;3;2;2;NA;NA;4;NA;NA;5;NA;3;NA;4;2;1;2;1;1;2;2;3;2;3;2;2;3;2;3;2;2;3;3;3;2;3;4;3;3;NA;2;3;3;NA;NA;3;NA;4;NA;3;NA;NA;3;4;NA;NA;2;2;1;NA;3;NA;3;NA;4;NA;4;NA;4;NA;NA;4;2;NA;4;3;NA;3;2;NA;NA;2;NA;3;NA;NA;1;NA;1;1
1515;1;0;0;"Portuguese";"White";19;"League of Legends";8;2;80;20;1;"Diamond";0;2;NA;NA;1;4;3;3;NA;NA;2;NA;NA;2;NA;4;1;NA;2;3;3;3;1;2;3;3;5;3;1;1;5;1;5;3;3;1;2;1;5;1;3;1;3;1;NA;NA;NA;3;3;2;3;NA;5;5;NA;5;1;NA;3;NA;NA;NA;1;NA;NA;3;5;NA;1;NA;1;NA;1;NA;5;2;5;NA;NA;3;NA;5;1;1;2;NA;NA;NA;NA;NA;2;NA;1;2
